Varebetegnelse,KJ pr.,Protein,Fedt,Kulhydrat,Tilsat sukker,Kostfibre,Alkohol,Vand,Kcal pr.,
"Hyldebærsaft, sur, koncentreret",129,"0,5","0,5",6,0,0,0,"92,8",31,
"Hyldebærsaft, sød, koncentreret",758,"0,5","0,5",43,41,0,0,"55,8",181,
"Hytteost, 20+",433,"12,2","5,4","1,5",0,0,0,"79,7",103,
"Høne, kød og skind, rå",879,"17,1","15,9",0,0,0,0,"65,5",210,
"Høne, kød, rå",445,"20,3","2,7",0,0,0,0,"74,9",106,
"Hørfrø, rå",2024,25,31,"36,1",0,18,0,"4,9",484,
Hørfrøolie,3700,0,100,0,0,0,0,0,884,
"Ingefær, rod, rå",345,"1,8","0,8","17,8",0,2,0,"78,9",82,
"Is, 3. farvet",778,4,10,20,18,0,0,62,186,
"Ising, rå",343,18,1,0,0,0,0,"81,1",82,
